slug,status,source,path,bytes,title,year,doi,arxiv
10.1609_aaai.v39i20.35500,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i20.35500.pdf,198524,Bridging Sequence-Structure Alignment in RNA Foundation Models,2025,10.1609/aaai.v39i20.35500,
10.1609_aaai.v39i1.32086,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.32086.pdf,2332472,Accurate Nucleic Acid-Binding Residue Identification Based Domain-Adaptive Protein Language Model and Explainable Geometric Deep Learning,2025,10.1609/aaai.v39i1.32086,
10.1609_aaai.v39i2.32170,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i2.32170.pdf,440446,CA-MLIF: Cross-Attention and Multimodal Low-Rank Interaction Fusion Framework for Tumor Prognostic Prediction,2025,10.1609/aaai.v39i2.32170,
10.1609_aaai.v38i1.27784,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i1.27784.pdf,1302255,PSC-CPI: Multi-Scale Protein Sequence-Structure Contrasting for Efficient and Generalizable Compound-Protein Interaction Prediction,2024,10.1609/aaai.v38i1.27784,
10.1609_aaai.v38i12.29248,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i12.29248.pdf,3261616,GxVAEs: Two Joint VAEs Generate Hit Molecules from Gene Expression Profiles,2024,10.1609/aaai.v38i12.29248,
10.1609_aaai.v38i14.29453,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i14.29453.pdf,9831318,Comprehensive View Embedding Learning for Single-Cell Multimodal Integration,2024,10.1609/aaai.v38i14.29453,
10.1609_aaai.v38i3.28044,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i3.28044.pdf,5930812,CrossBind: Collaborative Cross-Modal Identification of Protein Nucleic-Acid-Binding Residues,2024,10.1609/aaai.v38i3.28044,
10.1609_aaai.v39i1.32001,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.32001.pdf,1297223,CoPRA: Bridging Cross-domain Pretrained Sequence Models with Complex Structures for Protein-RNA Binding Affinity Prediction,2025,10.1609/aaai.v39i1.32001,
10.1609_aaai.v38i1.27792,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i1.27792.pdf,1600734,Designing Biological Sequences without Prior Knowledge Using Evolutionary Reinforcement Learning,2024,10.1609/aaai.v38i1.27792,
10.1609_aaai.v39i15.33695,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i15.33695.pdf,9467515,Cradle-VAE: Enhancing Single-Cell Gene Perturbation Modeling with Counterfactual Reasoning-based Artifact Disentanglement,2025,10.1609/aaai.v39i15.33695,
10.1609_aaai.v38i14.29509,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i14.29509.pdf,1304622,Levenshtein Distance Embedding with Poisson Regression for DNA Storage,2024,10.1609/aaai.v38i14.29509,
10.1609_aaai.v39i1.32025,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.32025.pdf,1832646,Whole Genome Transformer for Gene Interaction Effects in Microbiome Habitat Specificity,2025,10.1609/aaai.v39i1.32025,
10.1609_aaai.v39i15.33740,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i15.33740.pdf,1934608,SpotDiff: Spatial Gene Expression Imputation Diffusion with Single-Cell RNA Sequencing Data Integration,2025,10.1609/aaai.v39i15.33740,
10.1609_aaai.v40i1.36962,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i1.36962.pdf,2981199,Learning Structurally Stabilized Representations for Lossless DNA Storage,2026,10.1609/aaai.v40i1.36962,
10.1609_aaai.v40i26.39289,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i26.39289.pdf,166458,"Disturbance-based Discretization, Differentiable IDS Channel, and an IDS-Correcting Code for DNA-based Storage",2026,10.1609/aaai.v40i26.39289,
10.1609_aaai.v40i1.37046,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i1.37046.pdf,3221305,CLM-Access: A Specialized Foundation Model for High-Dimensional Single-Cell ATAC-Seq Analysis,2026,10.1609/aaai.v40i1.37046,
10.1609_aaai.v40i28.39524,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i28.39524.pdf,5451378,FedDNA: DNA Sequence Reconstruction via Deep Evidential Learning and Personalized Federated Aggregation,2026,10.1609/aaai.v40i28.39524,
10.1609_aaai.v39i1.32092,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.32092.pdf,671696,mRNA2vec: mRNA Embedding with Language Model in the 5'UTR-CDS for mRNA Design,2025,10.1609/aaai.v39i1.32092,
10.1609_aaai.v39i19.34194,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i19.34194.pdf,2452857,Denoising Diffusion Variational Inference: Diffusion Models as Expressive Variational Posteriors,2025,10.1609/aaai.v39i19.34194,
10.1609_aaai.v38i21.30446,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i21.30446.pdf,91872,Enhancing Transcription Factor Prediction through Multi-Task Learning (Student Abstract),2024,10.1609/aaai.v38i21.30446,
10.1609_aaai.v39i1.32030,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.32030.pdf,2917844,Controllable Protein Sequence Generation with LLM Preference Optimization,2025,10.1609/aaai.v39i1.32030,
10.1609_aaai.v39i25.34897,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i25.34897.pdf,142523,Fast Contiguous Somatic Hypermutations for Single-Objective Optimisation and Multi-Objective Optimisation Via Decomposition,2025,10.1609/aaai.v39i25.34897,
10.1609_aaai.v39i12.33371,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i12.33371.pdf,1321346,"Genomics Data Lossless Compression with (S, K)-Mer Encoding and Deep Neural Networks",2025,10.1609/aaai.v39i12.33371,
10.1609_aaai.v39i1.32098,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.32098.pdf,11981434,Exploit Your Latents: Coarse-Grained Protein Backmapping with Latent Diffusion Models,2025,10.1609/aaai.v39i1.32098,
10.1609_aaai.v39i1.32080,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.32080.pdf,644855,PriFold: Biological Priors Improve RNA Secondary Structure Predictions,2025,10.1609/aaai.v39i1.32080,
10.1609_aaai.v39i1.31989,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.31989.pdf,2075752,Improving Cancer Gene Prediction by Enhancing Common Information Between the PPI Network and Gene Functional Association,2025,10.1609/aaai.v39i1.31989,
10.1609_aaai.v39i27.35126,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i27.35126.pdf,45811,Compression-Aware Computing for Scalable and Sustainable AI,2025,10.1609/aaai.v39i27.35126,
10.1609_aaai.v39i27.35021,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i27.35021.pdf,570549,Optimizing Gene-Based Testing for Antibiotic Resistance Prediction,2025,10.1609/aaai.v39i27.35021,
10.1609_aaai.v39i20.35456,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i20.35456.pdf,884302,APAR: Modeling Irregular Target Functions in Tabular Regression via Arithmetic-Aware Pre-Training and Adaptive-Regularized Fine-Tuning,2025,10.1609/aaai.v39i20.35456,
10.1609_aaai.v39i18.34073,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i18.34073.pdf,2914149,Learning Cross-Domain Representations for Transferable Drug Perturbations on Single-Cell Transcriptional Responses,2025,10.1609/aaai.v39i18.34073,
10.1609_aaai.v39i12.33436,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i12.33436.pdf,588000,Rethinking Cancer Gene Identification Through Graph Anomaly Analysis,2025,10.1609/aaai.v39i12.33436,
10.1609_aaai.v39i4.32362,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i4.32362.pdf,1667797,Generalized Class Discovery in Instance Segmentation,2025,10.1609/aaai.v39i4.32362,
10.1609_aaai.v39i1.32049,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.32049.pdf,266005,A Simple and Comprehensive Benchmark for Single-Cell Transcriptomics,2025,10.1609/aaai.v39i1.32049,
10.1609_aaai.v38i13.29386,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i13.29386.pdf,1824133,Tree Search-Based Evolutionary Bandits for Protein Sequence Optimization,2024,10.1609/aaai.v38i13.29386,
10.1609_aaai.v38i21.30533,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i21.30533.pdf,293788,Leverage the Explainability of Transformer Models to Improve the DNA 5-Methylcytosine Identification (Student Abstract),2024,10.1609/aaai.v38i21.30533,
10.1609_aaai.v39i1.32043,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.32043.pdf,564374,GoBERT: Gene Ontology Graph Informed BERT for Universal Gene Function Prediction,2025,10.1609/aaai.v39i1.32043,
10.1609_aaai.v39i1.32087,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.32087.pdf,1030172,SWAMamba: A Sliding Window Attention Mamba Framework for Predicting Translation Elongation Rates,2025,10.1609/aaai.v39i1.32087,
10.1609_aaai.v39i28.35242,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i28.35242.pdf,4045685,scMBERT: A Pre-Trained Deep Learning Model for Single-Cell Multiomic Data Representation and Prediction (Student Abstract),2025,10.1609/aaai.v39i28.35242,
10.1609_aaai.v39i17.34032,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i17.34032.pdf,717702,Unravelling Causal Genetic Biomarkers of Alzheimer’s Disease via Neuron to Gene-token Backtracking in Neural Architecture: A Groundbreaking Reverse-Gene-Finder Approach,2025,10.1609/aaai.v39i17.34032,
10.1609_aaai.v40i19.38666,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i19.38666.pdf,7837074,Sequence-Free for Compound Protein Interaction Prediction,2026,10.1609/aaai.v40i19.38666,
10.1609_aaai.v40i19.38673,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i19.38673.pdf,5114045,Evidence-aware Integration and Domain Identification of Spatial Transcriptomics Data,2026,10.1609/aaai.v40i19.38673,
10.1609_aaai.v40i2.37110,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i2.37110.pdf,4366477,scCluBench: Comprehensive Benchmarking of Clustering Algorithms for Single-Cell RNA Sequencing,2026,10.1609/aaai.v40i2.37110,
10.1609_aaai.v40i21.38861,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i21.38861.pdf,7425537,GATCL: An Adaptive Contrastive Learning Framework Based on MHGAT for Spatial Domain Identification in Spatial Transcriptomics,2026,10.1609/aaai.v40i21.38861,
10.1609_aaai.v40i2.37070,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i2.37070.pdf,548305,Structure-based RNA Design by Step-wise Optimization of Latent Diffusion Model,2026,10.1609/aaai.v40i2.37070,
10.1609_aaai.v40i1.37032,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i1.37032.pdf,1412400,MergeDNA: Context-Aware Genome Modeling with Dynamic Tokenization Through Token Merging,2026,10.1609/aaai.v40i1.37032,
10.1609_aaai.v40i32.39944,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i32.39944.pdf,7753361,FuseMine: Robust Multi-Modal Compound-Protein Interaction Prediction via Differential Attention Feature Mining,2026,10.1609/aaai.v40i32.39944,
10.1609_aaai.v40i31.39806,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i31.39806.pdf,2846164,Hybrid Restricted Master Problem for Boolean Matrix Factorisation,2026,10.1609/aaai.v40i31.39806,
10.1609_aaai.v40i11.37857,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i11.37857.pdf,3488503,Auxiliary Gene Learning: Spatial Gene Expression Estimation by Auxiliary Gene Selection,2026,10.1609/aaai.v40i11.37857,
10.1609_aaai.v40i40.40713,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i40.40713.pdf,2285511,ST-LLM: Spatial Transcriptomics Embedding with Large Language Models,2026,10.1609/aaai.v40i40.40713,
10.1609_aaai.v40i1.37041,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i1.37041.pdf,15837110,CellStream: Dynamical Optimal Transport Informed Embeddings for Reconstructing Cellular Trajectories from Snapshots Data,2026,10.1609/aaai.v40i1.37041,
10.1609_aaai.v40i1.37027,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i1.37027.pdf,853996,Learning Cell-Aware Hierarchical Multi-Modal Representations for Robust Molecular Modeling,2026,10.1609/aaai.v40i1.37027,
10.1609_aaai.v40i29.39613,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i29.39613.pdf,433085,Loss-Guided Auxiliary Agents for Overcoming Mode Collapse in GFlowNets,2026,10.1609/aaai.v40i29.39613,
10.1609_aaai.v40i26.39367,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i26.39367.pdf,1642169,Oxytrees: Model Trees for Bipartite Learning,2026,10.1609/aaai.v40i26.39367,
10.1609_aaai.v40i1.36997,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i1.36997.pdf,1265051,S²Drug: Bridging Protein Sequence and 3D Structure in Contrastive Representation Learning for Virtual Screening,2026,10.1609/aaai.v40i1.36997,
10.1609_aaai.v40i2.37084,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i2.37084.pdf,1873334,Efficient Protein Optimization via Structure-aware Hamiltonian Dynamics,2026,10.1609/aaai.v40i2.37084,
10.1609_aaai.v40i1.37008,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i1.37008.pdf,1765702,PanFoMa: A Lightweight Foundation Model and Benchmark for Pan-Cancer,2026,10.1609/aaai.v40i1.37008,
10.1609_aaai.v40i33.39980,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i33.39980.pdf,565368,TrinityDNA: A Bio-Inspired Foundational Model for Efficient Long-Sequence DNA Modeling,2026,10.1609/aaai.v40i33.39980,
10.1609_aaai.v40i21.38862,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i21.38862.pdf,13758358,SAMGTD: Spatial-Aware Masked Graph Transformer-Diffusion Model for Enhanced Cell Type Deconvolution in Spatial Transcriptomics,2026,10.1609/aaai.v40i21.38862,
10.1609_aaai.v40i24.39048,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i24.39048.pdf,4296103,Multi-Level Domain Adaptation and Contrastive Domain Isolation with Bilinear Fusion for Patient Drug Response Prediction,2026,10.1609/aaai.v40i24.39048,
10.1609_aaai.v40i2.37114,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i2.37114.pdf,405041,GenePheno: Interpretable Gene Knockout-Induced Phenotype Abnormality Prediction from Gene Sequences,2026,10.1609/aaai.v40i2.37114,
10.1609_aaai.v40i1.37047,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i1.37047.pdf,2895452,When Genes Speak: A Semantic-Guided Framework for Spatially Resolved Transcriptomics Data Clustering,2026,10.1609/aaai.v40i1.37047,
10.1609_aaai.v40i2.37128,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i2.37128.pdf,728852,Domain-Aware Multi-View Contrastive Representation Learning for Protein Subcellular Localization Prediction,2026,10.1609/aaai.v40i2.37128,
10.1609_aaai.v40i25.39190,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i25.39190.pdf,381590,Departures: Distributional Transport for Single-Cell Perturbation Prediction with Neural Schrödinger Bridges,2026,10.1609/aaai.v40i25.39190,
10.1609_aaai.v40i31.39843,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i31.39843.pdf,3185782,Robust Integrative Analysis of Multi-omics Datasets via Nuclear-norm Maximization,2026,10.1609/aaai.v40i31.39843,
10.1609_aaai.v40i21.38804,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i21.38804.pdf,1775486,SSL-CST: Cell Segmentation for Single-Cell Spatial Transcriptome Based on Self-Supervised Learning,2026,10.1609/aaai.v40i21.38804,
10.1609_aaai.v40i2.37102,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i2.37102.pdf,333602,Investigating Data Pruning for Pretraining Biological Foundation Models at Scale,2026,10.1609/aaai.v40i2.37102,
10.1609_aaai.v40i2.37059,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i2.37059.pdf,4102325,Refinement Contrastive Learning of Cell–Gene Associations for Unsupervised Cell Type Identification,2026,10.1609/aaai.v40i2.37059,
10.1609_aaai.v40i1.37037,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i1.37037.pdf,13184804,DS-ProGen: A Dual-Structure Deep Language Model for Functional Protein Design,2026,10.1609/aaai.v40i1.37037,
10.1609_aaai.v40i2.37055,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i2.37055.pdf,249044,The GATTACA Framework: Graph Neural Network-Based Reinforcement Learning for Controlling Biological Networks,2026,10.1609/aaai.v40i2.37055,
10.1609_aaai.v40i9.37646,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i9.37646.pdf,3639868,Learning to Cluster Rare Cell Types: Implicit Semantic Data Augmentation for Spatial Multi-modal Omics Analysis,2026,10.1609/aaai.v40i9.37646,
10.1609_aaai.v40i1.37012,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i1.37012.pdf,3554704,RMSAGen: Integrating Multiple Sequence Alignment for Function RNA Design,2026,10.1609/aaai.v40i1.37012,
10.1609_aaai.v40i46.41280,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i46.41280.pdf,1136644,BSAN: Behavioral State Attention Network for Modeling Mosquito Host-Seeking Behavior,2026,10.1609/aaai.v40i46.41280,
10.1609_aaai.v40i47.41378,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i47.41378.pdf,36308,Learngene: Inheritable ‘Genes’ in Intelligent Agents (Abstract Reprint),2026,10.1609/aaai.v40i47.41378,
10.1609_aaai.v40i47.41443,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i47.41443.pdf,2543065,Efficient Chromosome Parallelization for Precision Medicine Genomic Workflows,2026,10.1609/aaai.v40i47.41443,
10.1609_aaai.v40i48.42320,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v40i48.42320.pdf,71342,Towards Data-Efficient Deep Learning for RNA 3D Structure Prediction and Design,2026,10.1609/aaai.v40i48.42320,
nTwb2vBLOV,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/nTwb2vBLOV.pdf,671259,Rethinking the Power of Graph Canonization in Graph Representation Learning with Stability,2024,,
Fj7Fzm5lWL,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/Fj7Fzm5lWL.pdf,9495604,Let's do the time-warp-attend: Learning topological invariants of dynamical systems,2024,,
BEH4mGo7zP,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/BEH4mGo7zP.pdf,1966808,"Pre-training Sequence, Structure, and Surface Features for Comprehensive Protein Representation Learning",2024,,
xhEN0kJh4q,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/xhEN0kJh4q.pdf,6180009,Robust Model-Based Optimization for Challenging Fitness Landscapes,2024,,
uKB4cFNQFg,ok,s2_openaccess,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/uKB4cFNQFg.pdf,1475195,BEND: Benchmarking DNA Language Models on Biologically Meaningful Tasks,2024,,
itGkF993gz,ok,s2_openaccess,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/itGkF993gz.pdf,1528957,MAPE-PPI: Towards Effective and Efficient Protein-Protein Interaction Prediction via Microenvironment-Aware Protein Embedding,2024,,
Xlayxj2fWp,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/Xlayxj2fWp.pdf,875987,DNA-GPT: Divergent N-Gram Analysis for Training-Free Detection of GPT-Generated Text,2024,,
